question,answer
"How does the number of character lines on the screen affect the display of the vertical border area in VIC?","When VIC has displayed all character rows, it will start displaying the vertical border area. If 24-row display is selected when VIC is drawing the last (25th) row, it does not start to draw the border at all. This is because VIC will think that it already started to draw the border. The 25-row display must be selected again in the top of the screen, so that the border may be opened in the next frame too."
"What is the role of the row select register in the display of the vertical border area in VIC?", "The row select register sets the number of character lines on the screen. If the 24-row display is selected when VIC is drawing the last (25th) row, it does not start to draw the border at all. This is because VIC will think that it already started to draw the border."
"How can the number of displayed rows be selected in VIC?","The number of displayed rows can be selected with the bit 3 in $d011. If the bit is set, VIC will display 25 rows and 24 rows otherwise."
"What needs to be done during the last row in VIC to clear the bit for the number of displayed rows?","The bit for the number of displayed rows needs to be cleared during the last row (raster lines $f2-$fa) in VIC."
"What needs to be done before the last row in VIC to set the bit for the number of displayed rows again?","The bit for the number of displayed rows needs to be set again in top of the screen or at least somewhere before the last row (line $f2) in VIC."
"How many times per second does this have to be done in PAL?","This has to be done in every frame (50 times per second) in PAL."
"What happens if the bit for the number of displayed rows is not cleared and set again in VIC?","If the bit for the number of displayed rows is not cleared and set again in VIC, the border may not be displayed correctly."
"What is the role of the row select register in the display of the vertical border area in VIC?","The row select register determines the number of character lines on the screen. When VIC has displayed all character rows, it will start displaying the vertical border area. If 24-row display is selected when VIC is drawing the last (25th) row, it does not start to draw the border at all. This is because VIC will think that it already started to draw the border."
"What is the effect of clearing the bit for the number of displayed rows during the last row in VIC?","Clearing the bit for the number of displayed rows during the last row in VIC ensures that the border is not displayed during that row."
"What is the effect of setting the bit for the number of displayed rows again before the last row in VIC?","Setting the bit for the number of displayed rows again before the last row in VIC ensures that the correct number of rows are displayed in the next frame."
