question,answer
"what is the purpose of the memory location 0000-00FF","Zero page work area, job queue, variables"
"what is the purpose of the memory location 0100-01FF","Stack, variables, vectors"
"what is the purpose of the memory location 0200-02FF","Command buffer, tables, variables"
"what is the purpose of the memory location 0300-09FF","Data buffers (0-6)"
"what is the purpose of the memory location 0A00-0AFF","BAM for tracks 0-39"
"what is the purpose of the memory location 0B00-0BFF","BAM for tracks 40-79"
"what is the purpose of the memory location 0C00-1FFF","Track cache buffer"
"what is the purpose of the memory location 4000-5FFF","8520A CIA"
"what is the purpose of the memory location 6000-7FFF","WD177X FDC"
"what is the purpose of the memory location 8000-FEFF","32K byte ROM, DOS and controller routines"
"what is the purpose of the memory location FF00-FFFF","Jump table, vectors"
"what is the purpose of the 1581","to support interfacing via software command structures"
"what is the benefit of using software commands in the 1581","a smooth and controllable interface between the peripheral and CPU"
"what is the risk of not using the defined software interface in the 1581","future compatibility of the user's machine language software within the 1581 may be in question"
"why is the 1581 not designed primarily as a user programmable device","certain operations such as copy protection cannot be easily achieved without this ability"
"what is recommended when using machine language within the 1581","use the jump table listed in this chapter and Chapter 10"
"what is the benefit of using the JOB QUEUE","it will greatly increase the likelihood of future compatibility"
