question,answer
"What is the purpose of a BLOCK-WRITE?","to save the contents of a file buffer into a specified sector."
"What is the reverse of the BLOCK-READ command?","the BLOCK-WRITE command."
"What is the BLOCK-WRITE command often replaced by?","the U2 command."
"What is the format for the BLOCK-WRITE command?","PRINT#15,\"U2\";channel#;drive#;track#;sector#."
"What does the channel# represent in the BLOCK-WRITE command?","the channel number specified when the file was opened."
"What does the drive# represent in the BLOCK-WRITE command?","the drive number."
"What do the track# and sector# represent in the BLOCK-WRITE command?","the track and sector numbers that should receive the block of data being saved from the file buffer."
"What are the alternate formats for the BLOCK-WRITE command?","PRINT#15,\"U2:\"channel#;drive#;track#;sector#, PRINT#15,\"UB:\"channel#;drive#;track#;sector#, and PRINT#15,\"U2:channel#,drive#,track#,sector#\"."
"What is an example of using the BLOCK-WRITE command to restore a track and sector?","PRINT#15,\"U2\";5;0;40;3."
"What can you use a BLOCK-WRITE command to do to mark a diskette as belonging to you?","write a name in Track 1, Sector 1."
"What is the purpose of the program that uses the alternate form of the BLOCK-WRITE command?","to write a name to Track 1, Sector 1 of a diskette."
"What is the function of the BLOCK-WRITE command identical to \"U2\" that does not check the track and sector parameters for valid bounds?","to write a sector without checking the track and sector parameters for valid bounds."
"What is the format of the BLOCK-WRITE command that does not check the track and sector parameters for valid bounds?","PRINT#15,\"B-o\";channel#;drive#;track#;sector# or PRINT#15,\"B-\";CHR$(215);channel#;drive#;track#;sector#."
"What is the character after the B- in the BLOCK-WRITE command that does not check the track and sector parameters for valid bounds?","a shifted W."
"What is the purpose of the OPEN 15,8,15 command in the program?","to open the command channel."
"What is the purpose of the OPEN 4,8,4,\"#\" command in the program?","to open the direct access channel."
"What is the purpose of the PRINT#4,NA$ command in the program?","to write the name to the buffer."
"What is the purpose of the PRINT#15,\"U2\";4;0;1;1 command in the program?","to write the buffer to Track 1, Sector 1 of the diskette."
"What is the purpose of the CLOSE 4 command in the program?","to close the direct access channel."
"What is the purpose of the CLOSE 15 command in the program?","to tidy up after."
"What is the purpose of the END command in the program?","to end the program."
"What is the input prompt in the program?","YOUR NAME."
"What is stored in the NA$ variable in the program?","the user's name."
"What is the purpose of the INPUT\"YOUR NAME\";NA$ command in the program?","to get the user's name."
"What is the purpose of the OPEN 15,8,15 command in the program?","to open the command channel."
"What is the purpose of the OPEN 4,8,4,\"#\" command in the program?","to open the direct access channel."
"What is the purpose of the PRINT#15,\"U2\";4;0;1;1 command in the program?","to write the buffer to Track 1, Sector 1 of the diskette."
"What is the purpose of the CLOSE 4 command in the program?","to close the direct access channel."
"What is the purpose of the CLOSE 15 command in the program?","to tidy up after."
"What is the purpose of the END command in the program?","to end the program."
