question,answer
"What is the error message for receiving string data when expecting numeric data?","BAD DATA"
"What happens when a program tries to reference an array element outside its range?","BAD SUBSCRIPT"
"Why was program execution stopped?","BREAK"
"Why can't the CONT command work?","CAN'T CONTINUE"
"What happens when a required I/O device is not available?","DEVICE NOT PRESENT"
"What is the error for dividing by zero?","DIVISION BY ZERO"
"What happens when too many items are typed in response to an INPUT statement?","EXTRA IGNORED"
"What happens when a file is not found?","FILE NOT FOUND"
"Why must a file be opened before closing it?","FILE NOT OPEN"
"What happens when trying to open a file using an already open file number?","FILE OPEN"
"What is the error for a formula that is too complex?","FORMULA TOO COMPLEX"
"Why can't the INPUT statement be used in direct mode?","ILLEGAL DIRECT"
"What is the error for an illegal quantity?","ILLEGAL QUANTITY"
"What happens when there is a problem with a program on tape?","LOAD"
"Why can't the NEXT statement be used without a FOR loop?","NEXT WITHOUT FOR"
"What happens when trying to input data from a file that is for output only?","NOT INPUT FILE"
"What happens when trying to print data to a file that is for input only?","NOT OUTPUT FILE"
"What happens when there is no more data to read?","OUT OF DATA"
"What happens when there is no more memory available?","OUT OF MEMORY"
"What is the error for an overflow?","OVERFLOW"
"What is the error for an array that is redimensioned?","REDIM'D ARRAY"
"What happens when character data is typed in during an INPUT statement?","REDO FROM START"
"Why can't a RETURN statement be used without a GOSUB?","RETURN WITHOUT GOSUB"
"What is the error for a string that is too long?","STRING TOO LONG"
"What is the error for a syntax error?","?SYNTAX ERROR"
"What is the error for a type mismatch?","TYPE MISMATCH"
"What is the error for an undefined function?","UNDEF'D FUNCTION"
"What is the error for an undefined statement?","UNDEF'D STATEMENT"
"Why does the program on tape or disk not match the program in memory?","VERIFY"
