question,answer
"What is the purpose of the SAVE function?","The purpose of the SAVE function is to save memory to a device."
"What is the call address of the SAVE function?","The call address of the SAVE function is $FFD8 (hex) or 65496 (decimal)."
"What are the communication registers used by the SAVE function?","The communication registers used by the SAVE function are A, X, and Y."
"What are the preparatory routines required by the SAVE function?","The preparatory routines required by the SAVE function are SETLFS and SETNAM."
"What error returns can occur when using the SAVE function?","The error returns that can occur when using the SAVE function are 5, 8, 9, and READST."
"What are the stack requirements for the SAVE function?","The SAVE function has no stack requirements."
"What registers are affected by the SAVE function?","The registers affected by the SAVE function are A, X, and Y."
"What is the memory saved from when using the SAVE function?","The memory saved from when using the SAVE function is an indirect address on page 0 specified by the accumulator."
"What is the memory saved to when using the SAVE function?","The memory saved to when using the SAVE function is a logical file on an input/output device."
"What is required to be used before calling the SAVE function?","The SETLFS and SETNAM routines must be used before calling the SAVE function."
"Is a file name required to save to device 1?","No, a file name is not required to save to device 1 (the Datassette recorder)."
"What happens if you try to save to devices 0, 2, or 3?","If you try to save to devices 0 (the keyboard), 2 (RS-232), or 3 (the screen), an error occurs and the SAVE is stopped."
"How do you use the SAVE function?","You use the SAVE function by calling the SETLFS and SETNAM routines, loading the accumulator and registers with the correct values, and then calling the SAVE routine."
"What is the format of the pointer to the start of the save?","The format of the pointer to the start of the save is standard 6502 low byte first, high byte next."
"What is the purpose of the SETLFS routine?","The purpose of the SETLFS routine is to set the file system before calling the SAVE function."
"What is the purpose of the SETNAM routine?","The purpose of the SETNAM routine is to set the file name before calling the SAVE function, unless saving to device 1."
"What is the device number for the cassette recorder?","The device number for the cassette recorder is 1."
"What is the error that occurs if you try to save to devices 0, 2, or 3?","The error that occurs if you try to save to devices 0, 2, or 3 is an error return."
