question,answer
"Under what conditions should I unplug the set from the wall outlet and refer servicing to qualified service personnel?","When the power cord or plug is damaged or frayed, if liquid has been spilled into the set, if the set has been exposed to rain or water, if the set does not operate normally, if the set has been dropped or the cabinet has been damaged, if the set exhibits a distinct change in performance, or if snapping or popping from the set is continuous or frequent while the set is operating."
"What adjustments should I avoid making to the set to prevent damage and the need for extensive repair work?","Adjustments to controls not covered in the operating instructions, as improper adjustment of these controls may result in damage and require extensive work by a qualified technician to restore the set to normal operation."
"Why should I not attempt to service the set myself?","Because opening or removing covers may expose me to dangerous voltage or other hazards, and I should refer all servicing to qualified service personnel."
"What should I ensure when replacement parts are required for the set?","That the service technician verifies in writing that the replacements have the same safety characteristics as the original parts, and that the manufacturer's specified replacements are used to prevent fire, shock, or other hazards."
"What should I ask the service technician to perform after completing any service or repairs to the set?","To perform the safety check described in the manufacturer's service literature."
"What should I do when a video monitor reaches the end of its useful life?","Ask a qualified service technician to dispose of the set to prevent improper disposal, which could result in a picture tube implosion."
"What is normal for some sets to make during operation?","Occasional snapping or popping sounds, particularly when being turned on or off."
"What is not normal for a set to make during operation?","Continuous or frequent snapping or popping sounds, which indicate a need for servicing."
"What should I do if the set has been exposed to rain or water?","Unplug the set from the wall outlet and refer servicing to qualified service personnel."
"What is the risk of improper disposal of a video monitor at the end of its useful life?","Picture tube implosion."
