question,answer
"Where do I plug the five PIN DIN connector on my computer?","The five PIN DIN connector should be plugged into the audio/video connector port on your computer, simply push the cable in."
"What do I need to do with the VIDEO IN and AUDIO IN jacks?","You need to plug the VIDEO IN and AUDIO IN jacks into the VIDEO INPUT and AUDIO INPUT terminals on the front of the monitor, which are located under the screen."
"What is the purpose of the SIGNAL SELECTOR switch?","The SIGNAL SELECTOR switch is used to select the signal source, and in this case, it should be switched to the FRONT position, which is located on the REAR PANEL of the monitor."
"What do I need to do to prepare my 1702 monitor for use with my personal computer?","To prepare your 1702 monitor for use with your personal computer, you need to plug the five PIN DIN connector into the audio/video connector port on your computer, plug the VIDEO IN and AUDIO IN jacks into the VIDEO INPUT and AUDIO INPUT terminals on the front of the monitor, and switch the SIGNAL SELECTOR to the FRONT position."
"What is the location of the VIDEO INPUT and AUDIO INPUT terminals on the monitor?","The VIDEO INPUT and AUDIO INPUT terminals are located on the front of the monitor, under the screen."
"What is the purpose of the audio/video connector port on the computer?","The audio/video connector port on the computer is used to connect the five PIN DIN connector, which carries the video and audio signals to the monitor."
"What do I need to do with the SIGNAL SELECTOR switch after connecting the cables?","After connecting the cables, you need to switch the SIGNAL SELECTOR to the FRONT position, which is located on the REAR PANEL of the monitor."
"What is the result of following these steps?","After following these steps, your 1702 monitor is ready for use as a video monitor for your personal computer."
"Where is the SIGNAL SELECTOR switch located on the monitor?","The SIGNAL SELECTOR switch is located on the REAR PANEL of the monitor."
"Can I use my 1702 monitor with my personal computer?","Yes, you can use your 1702 monitor with your personal computer by following the steps outlined, which include connecting the cables and switching the SIGNAL SELECTOR to the FRONT position."
