question,answer
"what is the purpose of the polarized AC line plug on the 1702 monitor","The polarized AC line plug is a safety feature that allows the plug to fit into the power outlet only one way, ensuring safe and secure connection to the power source, and preventing incorrect insertion that could lead to electrical shock or other hazards."
"what should you do if you are unable to insert the plug fully into the outlet","Try reversing the plug, and if it still fails to fit, contact your electrician to ensure safe and proper connection to the power source."
"what type of power source should you operate the 1702 monitor from","Operate the set only from a power source as indicated on the set or refer to the user's manual for this information, and if you are unsure, consult your dealer or local power company to ensure safe and compatible power supply."
"what are the dangers of overloaded AC outlets and extension cords","Overloaded AC outlets and extension cords are dangerous and can result in a shock or fire hazard, and it is recommended to call your service technician for replacement to ensure safe and secure power supply."
"why should you avoid placing objects on the power cord","Do not allow anything to rest or roll over the power cord, and do not place the set where the power cord is subject to traffic or abuse, as this may result in a shock or fire hazard."
"why should you avoid using the 1702 monitor near water","Do not use this set near water, such as near a bathtub, washbowl, kitchen sink, or laundry tub, in a wet basement, or near a swimming pool, etc., as it can result in electrical shock or other hazards."
"what is the purpose of the ventilation openings in the cabinet","The ventilation openings in the cabinet are designed to allow heat generated during operation to be released, and it is important to ensure that these openings are not blocked to prevent heat buildup that can cause failures and fire hazards."
"what should you avoid doing with the ventilation openings","Never block the bottom ventilation slots by placing it on a bed, sofa, rug, etc.; never place a set in a "built-in" enclosure unless proper ventilation is provided; never cover the openings with cloth or other material; and never place the set near or over a radiator or heat register."
"why is it important to ensure proper ventilation around the 1702 monitor","Proper ventilation is crucial to prevent heat buildup that can cause failures and fire hazards, and it is important to ensure that the ventilation openings are not blocked and that the set is placed in a well-ventilated area."
"what should you do if you are unsure about the type of power supply to your home","If you are unsure of the type of power supply to your home, consult your dealer or local power company to ensure safe and compatible power supply to the 1702 monitor."
