question,answer
"what is the first step before connecting the monitor connection cable to a Commodore personal computer?","Turn off the power to both your personal computer and the monitor."
"what are the two types of cables that can be used to connect the monitor to a computer?","One kind of cable has three jacks that connect to the BACK of the monitor, and the other cable has two jacks that connect to the FRONT of the monitor."
"how do you determine which kind of cable to use to connect the monitor to a computer?","Look at the audio/video connector on your computer, if it has EIGHT little holes, use the three-jack cable, and if it has FIVE little holes, use the two-jack cable."
"what is the correct way to connect a three-jack cable to the rear panel of the monitor?","Plug the eight PIN DIN connector into the audio/video connector port on your computer, and plug the RCA pin plugs of the cable into the rear terminals on the monitor, making sure to match the color-coded jacks and terminals."
"what is the purpose of the SIGNAL SELECTOR switch on the monitor?","To switch the signal input to the REAR position when using the three-jack cable connected to the rear panel of the monitor."
"what are the color-coded jacks and terminals on the monitor and cable?","The audio output jack is WHITE and plugs into the AUDIO IN terminal which is also WHITE, the luminance output jack is YELLOW and plugs into the LUMA terminal which is also YELLOW, and the chroma output jack is RED and plugs into the CHROMA terminal which is also RED."
"why is it important to turn off the power to both the computer and monitor before connecting the cable?","To avoid any potential damage to the equipment or electrical shock."
"what is the function of the audio/video connector port on the computer?","It is used to connect the monitor connection cable to the computer."
"what is the purpose of the RCA pin plugs on the cable?","They are used to connect the cable to the rear terminals on the monitor."
"in what position should the SIGNAL SELECTOR switch be set when using the three-jack cable?","The REAR position."
