question,answer
"What precautions should be taken when leaving a room for an extended period of time?","Always turn the set off if it is necessary to leave the room for more than a short period of time to prevent a possible malfunction that may result in a fire hazard."
"What should you caution children about when they are near the set?","Caution children about dropping or pushing objects into the set's cabinet openings because some internal parts carry hazardous voltages and contact can result in a fire or electrical shock."
"How should you clean the picture tube?","Unplug the set from the wall outlet before cleaning the face of the picture tube with a slightly damp (not wet) cloth, and do not use an aerosol directly on the picture tube since it may overspray and cause electrical shock."
"What should you avoid adding to a set?","Never add accessories to a set that has not been designed for this purpose because such additions may result in a shock hazard."
"What should you do to protect the set during a lightning storm or when leaving it unattended for an extended period of time?","Unplug it from the wall outlet to prevent possible shock and fire hazards due to lightning storms or power line surges."
"What should you keep away from the picture tube?","Do not bring magnetic devices such as magnets or motors near the picture tube because they have a bad effect on the color purity of the picture."
"What is a normal and harmless phenomenon when touching the surface of the picture tube?","Sometimes you may feel static electricity when you touch the surface of the picture tube, but this is normal for any TV set and is harmless to the human body."
"What is the reason for unplugging the set from the wall outlet before cleaning the picture tube?","To prevent electrical shock, as aerosols may overspray and cause electrical shock."
"What is the purpose of cautioning children about the set's cabinet openings?","To prevent children from dropping or pushing objects into the set's cabinet openings, which can result in a fire or electrical shock because some internal parts carry hazardous voltages."
"What is the benefit of unplugging the set during a lightning storm?","It prevents possible shock and fire hazards due to lightning storms or power line surges."
