question,answer
"How many possible locations are there for the high resolution screen in the 64K of RAM?","8"
"What is the function of the Video Interface Controller chip?","It controls the high resolution screen"
"What is the VIC chip for short?","Video Interface Controller chip"
"Why can only the first two of the eight possible locations be used for the high resolution screen?","Because the VIC chip can only see the first 16K of RAM"
"What is the starting address of the first possible location for the high resolution screen?","8192 decimal"
"Why is the number 8192 used?","Because it is 2^13 which a computer finds more convenient than the number 8000"
"What is the only available place to locate the high resolution screen?","At address 8192 to 16192"
"Why must the bottom of BASIC be moved up past address 16193 decimal?","To prevent BASIC from overwriting the screen"
"How can the bottom of BASIC be moved up?","By entering specific lines in direct mode"
"What is the result of moving BASIC by this amount?","We have lost 14K of program space"
"What can be stored in the space between address 2048 decimal and 4096 decimal?","Data for 32 Sprites"
"Why can't Sprite data be put between addresses 4096 decimal and 8192 decimal?","Because the VIC chip maintains an image of the character set ROM in this area"
"What does the VIC chip look at to find out where the screen is located?","Bit 3 of the VIC Memory Control register at address 53272 decimal"
"What does it mean if bit 3 of the VIC Memory Control register is 0?","The screen starts at address 0000"
"What does it mean if bit 3 of the VIC Memory Control register is 1?","The screen starts at address 8192 decimal"
"How can the high resolution screen be located at address 8192 decimal?","By using the POKE command: POKE 53272, PEEK (53272) OR 8"
"What is required to switch to high resolution mode?","Setting bit 5 of the VIC Control register at address 53265 decimal"
"How can high resolution mode be switched on?","By using the POKE command: POKE 53265, PEEK (53265) OR 32"
"What happens when the VIC chip switches to high resolution mode?","It stops displaying the normal text screen and begins displaying the high resolution screen"
"Why can't you see what you are typing after switching to high resolution mode?","Because the VIC chip is now displaying the high resolution screen"
"What is displayed on the high resolution screen initially?","Garbage from memory locations 8192 decimal to 16192 decimal"
"What are the coloured dots on the high resolution screen?","Characters that were being displayed on the normal text screen"
"How can the coloured squares be removed?","By printing a clear screen character (SHIFT/CLR)"
