question,answer
"what is the total number of memory locations on the Commodore 64?","There are 65536 memory locations on the Commodore 64, and you can PEEK values from and POKE values to most of them, with the exception of Read Only Memory areas like the BASIC interpreter at address 40960 to 49151."
"what happens when you POKE values into most addresses?","POKEing values into most addresses is usually not particularly rewarding, as the machine just hangs."
"what is the effect of POKE 53272, 23?","POKE 53272, 23 switches to lower case, which can be very useful for making text-based programs look much neater."
"what is the effect of POKE 53272, 21?","POKE 53272, 21 switches back to upper case, which can be very useful for making text-based programs look much neater."
"how do you calculate the screen location to print on the second space of the next line down?","To print on, say, the second space of the next line down (41 characters away from the top left corner), you should POKE 1065, value."
"what is the range for the X variable when calculating screen locations?","X must remain in the range to 39 when calculating screen locations."
"what is the range for the Y variable when calculating screen locations?","Y must remain in the range to 24 when calculating screen locations."
"how do you calculate the screen location using X and Y variables?","Any location on screen can be calculated from LOCATION=Y*40+X+1024."
"what is the address of the top left corner of the screen?","1024 decimal is the top left corner of the screen."
"what is the purpose of using POKE commands in programming?","POKE commands can be used to good advantage in programming, especially when used with special locations that can be used to achieve specific effects, such as switching between upper and lower case."
