question,answer
"what is the resolution of the low resolution mode on the commodore 64","1000 character locations laid out as 25 lines of 40 characters"
"what are the two character sets available on the commodore 64","upper case characters, numbers, special characters, and graphics characters, and lower case characters"
"how do you switch between character sets on the commodore 64","by simultaneously pressing shift and the commodore key"
"what is the purpose of the chrs function in basic","to return a single character string which is the character whose ascii code is the value of the expression contained in the brackets"
"what is the range of values that can be used in the chrs function","0 to 255 or an illegal quantity error message will result"
"what are the first 32 characters in the ascii code","special control characters, most of which control printers and terminals with functions like line feed, form feed and carriage return"
"what are the second 32 characters in the ascii code","special characters used in basic like s,( ),+,* etc. and the digits to 9"
"what are the third 32 characters in the ascii code","upper case letters"
"what are the fourth 32 characters in the ascii code on the commodore 64","a set of graphics characters instead of lower case letters"
"what are the first 32 characters in the ascii code on the commodore 64","some special control codes"
"what is the purpose of the print statement in basic","to produce some fairly impressive graphics and simple animation"
"how do you control where on the screen the next character is to be printed","by inserting cursor movement control characters into the string that is being printed"
"what is the function used to control where on the screen the next character is to be printed","chrs"
"what is the range of ascii codes available on the commodore 64","0 to 255"
"what are the last 128 ascii codes used for on the commodore 64","graphics characters and special control codes"
"what is the purpose of the chapter","to deal with low resolution graphics on the commodore 64"
"what is the other display mode on the commodore 64","high resolution"
"what chapter deals with high resolution graphics","chapter 7"
"what is the default character set when the machine is first switched on","character set 1 containing upper case characters, numbers, special characters, and graphics characters"
"what is the second character set on the commodore 64","lower case characters and upper case characters"
