question,answer
"Where do I connect the TV cable on the Commodore 64?","You need to attach one end of the TV cable to the phono type TV signal jack at the rear of the Commodore 64. Just push it in, either end of the cable can be used."
"What do I do with my VHF antenna cable?","You need to disconnect your VHF antenna from your TV set and connect it to the screw terminals labeled 'antenna input' on the switchbox. If your antenna cable is the round 75-ohm coax type, use a 75-ohm to 300-ohm adapter (not supplied) to attach your antenna cable to the switchbox."
"How do I connect the twin lead output cable of the antenna switchbox?","You need to connect the twin lead output cable of the antenna switchbox to the VHF antenna terminals of your TV set. If your set is one of the newer types with a round 75-ohm VHF connector, you will need a 300-ohm to 75-ohm converter (not supplied) to connect the switchbox to the 75-ohm VHF antenna input on the set."
"What channel do I set my TV to?","You need to set the TV's VHF tuner to the channel number indicated on the computer's channel selector switch (channel 3 move the switch to the left, channel 4 move the switch to the right). If a strong local TV signal is present on one of these channels, select the other channel to avoid possible interference."
"How do I connect the power supply cable?","You need to plug the power supply cable into the power socket on the side of the Commodore 64. Just push it in, it is 'keyed' to allow insertion in only one direction, so you can't connect the power cord the wrong way. The power supply converts household current into the form the computer uses."
"What is the purpose of the power supply?","The power supply converts household current into the form the computer uses, it is an essential component of the Commodore 64 setup."
"What type of adapter do I need for my antenna cable?","If your antenna cable is the round 75-ohm coax type, you need a 75-ohm to 300-ohm adapter (not supplied) to attach your antenna cable to the switchbox."
"What do I do if I have a strong local TV signal on one of the channels?","If a strong local TV signal is present on one of the channels, select the other channel to avoid possible interference."
"How do I connect the TV cable to the antenna switchbox?","You need to connect the other end of the TV cable to the antenna switchbox. Just push it in."
"What is the purpose of the antenna switchbox?","The antenna switchbox is used to connect the VHF antenna cable to the TV set, it is an essential component of the Commodore 64 setup."
