question,answer
"what is the note value for C-0?", "268"
"what is the note value for E-0?", "337"
"what is the note value for G-1?", "803"
"what is the note value for A#-2?", "1911"
"what is the note value for F#-3?", "3034"
"what is the note value for G-4?", "6430"
"what is the note value for A-5?", "14435"
"what is the note value for E-6?", "21629"
"what is the note value for G#-6?", "27251"
"what is the note value for A#-6?", "30588"
"what is the note value for B-6?", "32407"
"what is the note value for C-7?", "34334"
"what is the note value for F-7?", "45830"
"what is the note value for G-7?", "51443"
"what is the note value for A-7?", "57743"
"what is the note value for E-0?", "337"
"what is the note value for G-1?", "401"
"what is the note value for A-2?", "902"
"what is the note value for F-3?", "2864"
"what is the note value for G-4?", "3215"
"what is the note value for A-5?", "3608"
"what is the note value for E-6?", "22915"
"what is the note value for G#-6?", "27251"
"what is the note value for A#-6?", "30588"
"what is the note value for B-6?", "32407"
"what is the note value for C-7?", "34334"
