question,answer
"OPENING AN RS-232 CHANNEL":

"Can only one RS-232 channel be open at a time?","Only one RS-232 channel should be open at any time; a second OPEN statement will cause the buffer pointers to be reset."
"What is the maximum number of characters that can be sent in the filename field?","Up to 4 characters can be sent in the filename field."
"What happens if a non-implemented baud rate is used?","Any illegal control word will cause the system output to operate at a very slow rate (below 50 baud)."
"What is the syntax for opening an RS-232 channel?","OPEN lfn,2,0,\"<control register><command register><opt baud low><opt baud high>\"
"What is the range of logical file numbers?","lfn-The logical file number (lfn) then can be any number from 1 through 255."
"What is the purpose of the control word?","Any illegal control word will cause the system output to operate at a very slow rate (below 50 baud)."
"What is the purpose of the command register?","The <command register>- Is a single byte character (see Figure 6-2, Command Register Map) that defines other terminal parameters."
"What is the purpose of the baud rate?","The <control register>- Is a single byte character (see Figure 6-1, Control Register Map) required to specify the baud rates."
"What is the purpose of the parity options?","PARITY OPTIONS ----+-+-+ | | | | +----- HANDSHAKE"
"What is the purpose of the handshake?","HANDSHAKE"
"What is the purpose of the duplex?","DUPLEX"
"What is the purpose of the CLR?","automatic CLR is performed when an RS-232 channel is OPENed"
"What is the purpose of the KERNAL ENTRY?","OPEN ($FFC0) (See KERNAL specifications for more information on entry conditions and instructions.)"
"What is the purpose of the IMPORTANT NOTE?","IMPORTANT NOTE: In a BASIC program, the RS-232 OPEN command should be performed before creating any variables or arrays"
"What is the purpose of the system frequency?","system frequency = 1.02273E6 NTSC (North American TV standard) = 0.98525E6 PAL (U.K. and most European TV standard)"
