question,answer
"Should a separate power line be run between SID Vcc and the power supply?","Yes, to minimize noise."
"Is a bypass capacitor necessary?","Yes, it should be located close to the pin."
"What is the purpose of the +5 VDC line?","To minimize noise."
"What should be done with the GND line?","Run a separate line between SID Vcc and the power supply."
"What is the importance of the power supply?","To minimize noise."
"What should be done with the SID Vcc?","Run a separate +5 VDC line between SID Vcc and the power supply."
"What is the purpose of the bypass capacitor?","To bypass noise."
"What should be done with the power supply?","Run a separate line between SID Vcc and the power supply."
"What is the purpose of the separate power line?","To minimize noise."
"What should be done with the SID Vcc and the power supply?","Run a separate +5 VDC line between SID Vcc and the power supply."
