question,answer
"SEC Set carry flag","The SEC instruction sets the carry flag."
"Assembly Language Form","The assembly language form of the SEC instruction is SEC."
"OP CODE","The OP code of the SEC instruction is 38."
"No. Bytes","The number of bytes required to execute the SEC instruction is 1."
"No. Cycles","The number of cycles required to execute the SEC instruction is 2."
"Addressing Mode","The addressing mode of the SEC instruction is implied."
"Instruction Description","The SEC instruction sets the carry flag."
"Carry Flag","The SEC instruction sets the carry flag."
"Flag Setting","The SEC instruction sets the carry flag."
"Flag Operation","The SEC instruction sets the carry flag."
